Nom,Plateforme,À quoi ça sert ?,Open / Propriétaire,Prix,URL,État,Lin,Win,Mac,RPI,And
HamRadioDeluxe,Windows,-Logbook -RIG Control -Satellite et Rotor Control - Décodage multimode,Propriétaire,env. 100 USD old: gratuite,https://www.hamradiodeluxe.com/ et http://www.asfi-fr.com/vrac/index.php?path=Radio%2FHRD/,OK,,X,,,
MMSSTV,Windows,Décodage SSTV Émission SSTV,Propriétaire Libre depuis 2013,Gratuit,https://hamsoft.ca/pages/mmsstv.php http://mm-open.org/,OK,,X,,,
WSJTX,Multiplateforme,Modes numériques FT4; FT8; JT4; JT9; JT65; QRA64; ISCAT; MSK144; JS8CALL Émission et réception,Open  ,Gratuit,http://physics.princeton.edu/pulsar/K1JT/wsjtx.html,OK,X,X,X,X,
GridTracker,Multiplateforme  (ARM et x86),Affichage de carte pour WSJTX notamment,Propriétaire,Gratuit,https://gridtracker.org/grid-tracker/ ,OK,X,X,X,X,
ROS (de EA5HVK),Windows,Mode numérique,Propriétaire,Gratuit,https://rosmodem.wordpress.com/,OK,,X,,,
UIVIEW-AGWPE,Windows,AX25-Packet APRS,Propriétaire,Donation pour  lutte contre cancer,http://f6bxm.free.fr/carte%20son/7uiview.htm,OK,,X,,,
SDR Uno,Windows,Réception SDR,Propriétaire,Gratuit,https://www.sdrplay.com/sdruno/ ,OK,,X,,,
Cubic SDR,Multiplateforme,Réception SDR (émission?),Open,Gratuit,https://github.com/cjcliffe/CubicSDR,Arrêté ?,X,X,X,,
fldigi (flrig flmsg fl*),Multiplateforme,Décodage multi-modes,Open,Gratuit,https://sourceforge.net/projects/fldigi/ ,OK,X,X,X,,
OpenWebRX,Linux,Réception SDR + Décodage de quelques modes numériques,Open,Gratuit,https://www.openwebrx.de/,OK,X,,,X,
GQRX,Linux / MacOS,Réception SDR + AX25,Open,Gratuit,https://gqrx.dk/ ,OK,X,,X,X,
GPredict,Linux / MacOS,Suivi de satellites,Open,Gratuit,http://gpredict.oz9aec.net/index.php,OK,X,,X,X,
GNURadio,Multiplateforme,Traitement du signal,Open,Gratuit,https://www.gnuradio.org/,OK,X,X,X,X,
rtl_433,Multiplateforme,Décodage de données 433/868/... (sondes de températures; de pneus ...),Open,Gratuit,https://github.com/merbanan/rtl_433,OK,X,X,X,X,
Direwolf,Multiplateforme,TNC Packet Radio,Open,Gratuit,https://github.com/wb2osz/direwolf,OK,X,X,X,,
dump1090,Multiplateforme,Réception de ADSB (Avions),Open,Gratuit,https://github.com/adsbxchange/dump1090-fa,OK,X,,X,,
multimon-ng,Linux / MacOS,Décodage de modes (POCSAG AFSK etc),Open,Gratuit,https://github.com/EliasOenal/multimon-ng,OK,X,,X,X,
xastir,Linux,Réception/Émission/Digipeater APRS,Open,Gratuit,https://xastir.org/index.php/Main_Page,OK,X,,,,
rtl_fm_streamer,Linux,Réception FM Stéréo vers streaming avec VLC; mplayer; Kodi et cie,Open,Gratuit,https://github.com/AlbrechtL/rtl_fm_streamer,OK,X,,,,
welle.io,Multiplateforme,Réception DAB ,Open,Gratuit,https://github.com/AlbrechtL/welle.io,OK,X,X,X,X,X
VLS Logger,Android,Logbook,Propriétaire,Gratuit,https://play.google.com/store/apps/details?id=com.vls.logger&hl=fr&gl=US,OK,,,,,X
Heavens Above,Android + Web,Suivi de satellites,Propriétaire,Gratuit,https://www.heavens-above.com/,OK,,,,,X
Robot36,Android,Décodage SSTV,Open,Gratuit,https://play.google.com/store/apps/details?id=xdsopl.robot36&hl=fr&gl=US,OK,,,,,X
APRSDroid,Android,APRS,Open,Gratuit,https://aprsdroid.org/ https://play.google.com/store/apps/details?id=org.aprsdroid.app&hl=fr&gl=US,OK,,,,,X
MySondygo,Android,Suivi Radiosonde avec module TTGO,Propriétaire,Gratuit,https://play.google.com/store/apps/details?id=org.mysondy.altervista.mysondygo&hl=fr&gl=US,OK,,,,,X
SSTVEncoder,Android,Emission SSTV,Libre,Gratuit,https://play.google.com/store/apps/details?id=om.sstvencoder,OK,,,,,X
Morse Code Reader,Android,Décodage Morse,Propriétaire,Gratuit,https://play.google.com/store/apps/details?hl=en&id=org.jfedor.morsecode,OK,,,,,X
Amateur Radio Toolkit,Android,Calculateur et rappels (antennes gains ...),Propriétaire,Gratuit et Payant,https://play.google.com/store/apps/details?id=com.daveyhollenberg.amateurradiotoolkit&hl=en,OK,,,,,X
Foxtelem,Multiplateforme,Décodage télémétrie satellite par l'AMSAT,Libre,Gratuit,https://www.amsat.org/foxtelem-software-for-windows-mac-linux/ https://github.com/ac2cz/FoxTelem,OK,X,X,X,X,
QSSTV,Linux / MacOS?,SSTV + DRM,Open,Gratuit,http://users.telenet.be/on4qz/index.html,OK,X,,,X,
Xnec2c,Linux,Calcul d'antennes,Open,Gratuit,http://www.5b4az.org/,OK,X,,,,
SDRAngel,Linux / Windows 10,Récepteur/Émetteur SDR,Open,Gratuit,https://github.com/f4exb/sdrangel,OK,X,X,,,
WXtoimg,Multiplateforme,Décodage images météo satellites,Propriétaire,Gratuit,https://wxtoimgrestored.xyz/downloads/,Abandonné,X,X,X,,
NOAA-APT,Multiplateforme,Décodage images météo satellites,Open,Gratuit,https://noaa-apt.mbernardi.com.ar/,OK,X,X,X,X,
RadioSonde Auto RX,Linux,Décodage et cartographie télémétrie radiosondes,Open,Gratuit,https://github.com/projecthorus/radiosonde_auto_rx,OK,X,,,X,
hblink3 + hbmon,Linux,Interconnexion de relais radio Master DMR,Open,Gratuit,https://hblink-francophone.frama.site/ https://github.com/HBLink-org,OK,X,,,X,
Skywave Linux,Linux,Distribution orientée écoute,,Gratuit,https://skywavelinux.com/,OK,X,,,,
RPI Satnogs / Artifacts,Linux,Distribution pour satnogs,,Gratuit,https://wiki.satnogs.org/Raspberry_Pi,OK,,,,X,
RPI OpenWebRX,Linux,Distribution pour avoir un openwebrx,,Gratuit,https://www.openwebrx.de/download/rpi.php,OK,,,,X,
RPI Pistar,Linux,Controle de carte de mode numérique et d'interconnexion sur réseau,,Gratuit,https://www.pistar.uk/,OK,,,,X,
WaveSDR,MacOS,Réception SDR,,Gratuit,https://github.com/getoffmyhack/waveSDR,OK,,,X,,
Cocoa1090,MacOS,Réception ADSB (avions),Propriétaire,Gratuit,https://www.blackcatsystems.com/software/cocoa1090.html,OK,,,X,,
SDRSharp,Windows,Réception SDR,Propriétaire,Gratuit,https://airspy.com/download/,OK,,X,,,
DroidSSTV DroidrTTY DroidPSK,Android,Émission/Réception SSTV TTY PSK,Propriétaire,7€ 6€ 6€,https://play.google.com/store/apps/details?id=com.wolphi.sstv&hl=fr&gl=US https://play.google.com/store/apps/details?id=com.wolphi.droidrtty&hl=fr&gl=US https://play.google.com/store/apps/details?id=com.wolphi.psk31&hl=fr&gl=US,OK,,,,,X
SDRTouch,Android,Réception SDR,Propriétaire,7,https://play.google.com/store/apps/details?id=marto.androsdr2&hl=fr&gl=US,OK,,,,,X
